hour,SOC,DOC,MBC,EEC
0,69.88479127,0.371984189,2.550251133,0.407103491
5,86.62093305,0.676949279,3.624549814,0.191933532
10,77.9397723,0.471318592,3.005141759,0.335687967
15,66.13796248,0.599499611,2.873887205,0.355539157
20,71.09104846,0.660896626,3.080699369,0.257489313
25,69.17976058,0.460186204,3.26957525,0.294891471
30,89.59578978,0.587162726,1.693205238,0.250662643
35,81.55292894,0.420257396,2.342177786,0.093065312
40,69.22694955,0.683368464,1.700856294,0.27026589
45,80.22205047,0.492807738,3.682162312,0.390631863
50,81.95502717,0.498602769,2.327271102,0.343185463
55,72.74614787,0.541880987,2.165547423,0.29842634
60,81.58755515,0.592337449,3.787036898,0.247018632
65,77.58831208,0.782522307,3.135337857,0.282866353
70,75.52103146,0.662304401,1.956826758,0.193277367
75,80.81236234,0.47979294,2.363897837,0.263552161
80,73.97518394,0.424307612,3.278319125,0.256119689
85,71.55634293,0.484270971,3.229871251,0.271259293
90,68.62839829,0.388294148,2.272363285,0.144850689
95,68.81280051,0.332576597,1.656402137,0.285904526
100,79.96243311,0.659563801,1.466002094,0.286941052
105,66.93059293,0.588360389,2.012767004,0.287460776
110,79.0195556,0.663186002,2.887465055,0.336173168
115,76.24621395,0.794814112,2.46089283,0.256795931
120,69.18838787,0.529234226,1.37695121,0.37648761
125,69.77115125,0.671854647,1.660251414,0.354121161
130,67.31550457,0.664737077,1.906422055,0.3029107
135,71.84320874,0.702154206,2.175272119,0.454304482
140,78.91690272,0.694575055,1.959514893,0.363944242
145,62.19712011,0.725758207,2.880066943,0.424923689
150,76.05330936,0.713983026,1.782399284,0.288582415
155,65.44531083,0.700080222,2.647719684,0.239776795
160,79.07138457,0.60914749,3.19839651,0.268216528
165,67.54885531,0.634696202,2.995895569,0.189257791
170,85.33946846,0.640430479,3.210702976,0.228956841
175,70.39617476,0.53086631,1.741489792,0.271692719
180,75.92498661,0.666251237,2.393611489,0.261311103
185,77.33587509,0.608199326,2.268753474,0.261086296
190,67.08250825,0.602331971,3.324890899,0.349090509
195,77.89274097,0.649715242,1.813612605,0.273927716
200,75.48111119,0.604005508,2.410726626,0.314698924
205,63.56989077,0.560535476,2.9142695,0.367421087
210,57.88853186,0.55101699,2.740128151,0.387939334
215,77.50235165,0.728770296,2.833977341,0.447466555
220,73.52543812,0.74072473,2.833961696,0.365184387
225,70.99305711,0.847831382,2.814358262,0.481088712
230,77.60042747,1.083127646,2.877427068,0.449768457
235,66.4180602,1.015560214,3.54709636,0.287581695
240,77.02314685,0.884218251,2.425060314,0.494925119
245,76.84721952,0.851095407,2.897152247,0.523916672
250,68.73135635,1.193418927,2.572916876,0.419750832
255,77.51269973,0.911321119,3.242912906,0.40076432
260,58.56574531,1.092063378,3.818944633,0.487550775
265,78.25209053,1.035997484,2.962257811,0.474696305
270,71.58842016,1.254391164,3.508732134,0.575589641
275,78.16242226,1.183064105,3.41724304,0.597806768
280,72.59760239,1.292981794,3.549073323,0.610780916
285,61.96296085,1.066563101,3.501062511,0.483698287
290,74.60085838,1.365161434,3.614092565,0.555736907
