hour,SOC,DOC,MBC
0,85.40692402,0.390879312,3.741925744
5,74.33787105,0.395388474,2.049488859
10,80.07111357,0.654098564,1.973486754
15,81.68754215,0.427271461,2.891985397
20,81.64027376,0.228250445,3.344021096
25,75.46366476,0.881904101,3.013601332
30,69.76069474,0.601291704,2.937184682
35,72.84056326,1.117176668,1.678229406
40,66.76673728,0.529387882,2.379609884
45,70.55959127,1.043991561,2.232853318
50,74.81321046,1.034976076,2.399967536
55,79.40145851,1.605318445,1.370088111
60,76.88097176,0.71045926,2.253916823
65,65.96912011,1.191289255,3.111758639
70,72.76379958,1.518351832,2.895308895
75,71.94704006,1.509034518,2.884366048
80,69.92295374,1.522639727,3.096388914
85,74.15485324,1.421055473,3.159602893
90,82.45055386,0.847136155,2.570534481
95,72.32811413,1.35593492,2.380943964
100,72.9551915,1.334890426,2.791829332
105,66.93074342,1.017439237,3.61695083
110,67.01855385,1.471634263,2.582366946
115,54.4633489,1.536004048,3.347018803
120,77.97645387,1.416310037,3.013036321
125,75.75766931,1.327214369,2.525988124
130,66.71468411,1.275527896,2.385558527
135,60.77009576,1.705452253,2.808981734
140,67.74714421,1.384155108,3.472807436
145,69.55547021,1.81820492,3.154672175
150,59.9319915,2.002086711,2.229106019
155,66.53744908,2.150043103,2.072889233
160,79.66941288,0.966546076,2.855407708
165,53.32990431,1.804423055,2.622541927
170,66.67862999,1.681422147,3.469910612
175,64.47376592,2.149964404,2.555813176
180,65.19494385,1.881761567,2.39357469
185,56.65616135,2.147725498,3.283635616
190,63.83413966,2.254006039,3.264214358
195,63.37389292,2.62744305,2.337484539
200,76.61574796,2.243620862,3.318905124
205,59.13130826,2.204791325,3.542383626
210,59.8743462,1.814029482,2.257134725
215,65.84758752,2.295514371,3.56895074
220,68.08892842,2.11010299,2.668519663
225,62.95683555,1.874593561,1.876172614
230,59.3980034,2.139234708,2.28488181
235,53.15832132,2.271189326,2.774627657
240,66.91631318,2.607896313,3.96693817
245,71.53144075,2.828238831,2.73672067
250,69.62737273,2.286348248,3.617834127
255,55.03855914,2.301399724,2.605820244
260,54.62222262,2.46703133,3.664457964
265,60.0451383,2.817464491,3.59058182
270,54.49037886,2.459627822,3.020101015
275,57.35922711,2.280573056,2.521907374
280,65.25242281,1.840314129,2.24764483
285,67.12413941,1.96813139,3.964499663
290,68.80175628,2.12235396,4.174210687
295,66.72368861,2.471717681,4.286056905
300,65.54030354,1.962125905,3.771217195
305,65.51017275,1.999632345,3.897661984
310,66.2422912,2.641304142,4.148746338
315,69.95156797,1.899988778,4.30643804
320,60.08753565,2.637241321,3.803260044
325,69.9419355,2.196829232,4.217346378
330,73.42210567,2.626668619,3.754164689
335,76.15732652,2.910615521,4.335532926
340,66.67753466,2.504762525,4.302718338
345,71.4151109,2.639962217,3.936261501
350,71.48113842,2.844039746,4.127365112
355,61.12532445,2.722284676,5.171867251
360,72.29938459,2.612147256,5.055622941
365,66.92307184,2.857824753,4.59527714
370,65.80033921,2.560903959,5.029823837
375,58.75812664,2.866898601,4.644641879
380,69.4147376,2.557425122,6.183648517
385,69.3278196,2.987802976,4.950140178
390,63.22714202,2.694862561,5.368880418
395,57.6480722,2.691729123,5.528270096
400,72.45123158,3.175264607,6.101724668
405,57.29920737,2.75839202,6.490195677
410,67.12724107,2.776104176,6.688758227
415,55.13304792,3.674551238,6.269484963
420,70.84042494,2.914807902,5.343972597
425,77.89026146,3.046896441,4.91970125
430,61.756593,3.91962756,5.736047662
435,71.40353636,3.259019239,4.718991161
440,62.06086142,3.302884777,4.968382041
445,61.39788895,3.521124577,5.808065317
450,70.87932863,3.805319891,5.415489311
455,61.56273251,3.579671622,5.869193773
460,67.92715422,3.793714107,6.117187569
465,67.32902233,4.113020248,6.620829168
470,61.80077093,3.898943508,5.580046816
475,60.91877616,3.972279971,5.356989916
480,66.57691374,3.902995442,5.913398113
485,58.84490938,3.841639741,6.535398061
490,55.31344578,3.360308795,6.098963912
495,63.78151051,3.934864156,5.872734221
500,63.3466002,4.234841957,7.067692465
505,62.67827217,3.889396241,5.768155532
510,64.05651853,3.938989071,6.519777898
515,70.35263792,3.648759138,6.916903015
520,64.88354079,3.925948295,6.509478528
525,61.26066476,4.464862503,6.231155925
530,70.99186484,4.06988433,6.570144676
535,61.54335789,4.321173677,5.885833376
540,75.48553974,4.192245812,7.285315159
545,65.70931532,4.053056199,7.530823971
550,72.28190013,3.943921474,6.117892865
555,62.86092385,4.031396102,7.118086304
560,69.77554916,3.767571544,7.227337524
565,71.85680508,3.999447534,7.543493884
570,58.01383086,4.003300459,5.644697336
575,73.01281273,3.920457734,6.116662345
580,63.63050369,3.363376368,6.276481388
585,67.98101978,3.945447295,6.495806423
590,70.9708666,4.202928792,6.629422999
595,64.30166731,4.204392746,6.2746483
600,72.50498651,4.575354312,6.322506092
605,77.64071766,4.061043576,4.967600055
610,66.83220627,4.444606666,5.723681533
615,60.79540078,4.288120043,6.247658232
620,70.88308,4.802291459,5.59950548
625,58.98560317,3.881093376,5.833156136
630,65.36594486,4.140727407,6.759033651
635,65.5528468,4.710480526,6.311072633
640,73.83739199,4.099517944,6.807986521
645,66.32010553,3.747220491,6.279635958
650,56.76626748,4.216177739,5.501838389
655,58.66634503,4.362471582,6.027511217
660,56.09930059,4.429369243,5.699662829
665,57.54018345,4.073495456,5.693004194
670,57.10229409,3.704569762,6.030010779
675,46.25019625,3.945395075,6.536866359
680,45.69281466,4.941544685,5.547931678
685,47.91022061,4.522851691,6.978993198
690,52.68701593,4.618547567,6.436964345
695,54.38920054,4.260096173,7.410377119
700,60.69660177,5.000238715,8.294167251
705,55.90728887,4.277641834,6.226709229
710,70.65093501,4.372613549,6.320874836
715,53.12621092,4.304762028,6.823971986
720,51.62944703,4.647379715,6.712172366
725,50.01976689,4.41520023,7.321508607
730,48.41048954,4.689340967,6.189113175
735,58.28338818,3.983955071,6.707208511
740,57.75969871,4.3191278,6.68165525
745,48.18058971,3.968943329,6.821082059
750,59.69133326,3.716349397,6.459855982
755,49.09602954,4.052347963,7.880313457
760,49.06003956,4.331642344,5.834516847
765,57.43267665,3.919602234,6.614252631
770,49.68235405,3.957582667,6.862950616
775,51.37650907,4.485375322,6.103921747
780,49.59241229,4.444458166,5.814318414
785,40.29388204,3.864152117,5.705812189
790,66.76134324,3.922620491,5.77945452
795,68.18240742,4.114693415,5.548427256
800,53.0244323,4.287547561,6.328251318
805,51.76467403,4.436964087,5.884574967
810,57.55669361,3.759481622,6.198771997
815,55.06486022,4.060798589,6.005782279
820,49.6159998,3.948746552,5.835102246
825,41.02981515,3.422480661,6.082700039
830,56.07237752,3.810360783,5.626902448
835,54.86279957,3.868244269,6.896713604
840,51.20281329,3.310063477,6.664208351
845,39.70432749,3.217650089,6.155118445
850,49.49386363,3.519262859,6.803530961
855,56.21541764,3.632338656,6.365805653
860,54.36305647,3.208678382,5.85668537
865,41.83443152,3.568860794,6.642309759
870,35.17600505,3.684574609,6.201602397
875,37.60833162,3.400357901,6.346159201
880,54.53515463,3.32827373,6.499796055
885,57.99910756,3.84623766,6.823387257
890,49.79833415,3.919502137,6.022408824
895,60.27578774,3.269286211,6.246536716
900,55.3331481,3.449858285,6.02028984
905,44.22888745,3.95056848,7.634615292
910,51.22057855,3.371822351,5.643094779
915,51.61629972,3.394595761,6.389269816
920,51.32588975,3.539900824,5.587320427
925,52.71088842,3.973431268,6.86825495
930,45.84023572,3.294643724,6.222900997
935,45.88086558,3.566694711,6.643914361
940,47.44728487,4.029510183,6.743545732
945,43.6612264,3.412076805,7.333152422
950,53.03165692,3.659332653,6.744450101
955,42.98256949,2.963994227,6.405800452
960,47.44411046,3.864660161,6.884930462
965,58.68707808,3.101992027,6.587513268
970,47.43708517,3.520633273,7.148739223
975,65.25792652,3.62669846,7.289710263
980,52.50683944,3.027689331,6.839435052
985,47.74777446,3.37363209,7.254145136
990,46.86052388,3.589851272,7.863607294
995,47.48193552,3.98233569,7.805740797
1000,40.67097906,3.409044483,7.542215402
