hour,SOC,DOC,MBC
0,53.01234757,2.801123821,4.454698936
5,56.65232642,2.750216045,4.425712399
10,55.55916945,2.401040279,4.850041601
15,54.47142836,3.299525711,5.001759688
20,48.31189165,3.235781896,4.236029164
25,47.4610631,2.373365473,4.441229431
30,45.98560841,2.814181031,4.415794241
35,51.11130121,3.574433952,4.808946621
40,50.54873497,2.722774006,5.302110722
45,54.0577947,3.104633733,4.788321322
50,54.2214381,3.092349963,4.757968338
55,51.26909781,3.460630947,4.457507365
60,55.37367232,3.602685051,4.989631989
65,58.72801673,2.475923032,4.238450907
70,53.63320934,3.741332551,5.667419639
75,55.15828149,3.41232863,5.809132768
80,57.3800447,2.576216172,4.035214298
85,55.15052096,3.585945636,5.288129239
90,51.33974716,2.982515291,5.063472074
95,51.30835246,3.465521759,5.016573244
100,51.71861885,3.412105958,5.270742596
105,47.80105763,3.703775211,4.481399958
110,54.31251519,2.936019998,4.249384717
115,55.78190409,3.094832444,4.205080025
120,55.72900059,3.102211588,4.935909257
125,56.4955885,3.081803556,4.458659694
130,52.38463344,3.650512137,5.226957147
135,53.58398146,3.465796389,4.016132136
140,51.96656317,3.039167508,5.199451956
145,53.0144621,3.258557931,4.990823508
150,46.64449435,3.834250318,4.774335483
155,48.45729174,3.410378999,5.65594195
160,47.5527202,2.756241653,5.934672555
165,46.9611566,2.899183856,5.310388226
170,56.52077511,3.550226839,4.566810401
175,48.45291974,3.241375875,5.410378482
180,46.73683668,3.496414426,4.631283832
185,46.60260086,2.560076925,5.54900005
190,51.24395216,3.316106252,4.413840035
195,48.18631216,3.201544193,5.089172548
200,49.02920786,3.282841434,4.239773882
205,47.43813364,3.05634494,4.973874052
210,51.69939086,2.816946977,5.216207819
215,48.8550712,2.869729682,5.708614931
220,51.35481953,2.405419353,4.506542215
225,59.95395225,2.483700265,4.989465499
230,49.50700899,2.943958082,5.58990537
235,47.17260984,2.454118728,5.187245379
240,48.87039845,2.107622816,5.092612773
245,44.98937423,2.621812217,4.397004469
250,50.57703465,2.605723479,5.395082761
255,47.19425207,2.768557549,5.988599484
260,44.89864276,2.93988471,5.172322149
265,47.13270072,3.460433403,5.299085802
270,47.98195167,2.853785528,4.630738074
275,46.26678031,2.78137867,5.058684502
280,52.71157636,2.538644361,6.317870417
285,55.05390823,2.861443462,4.854821055
290,43.13520377,3.530920464,4.589260965
295,46.53732633,3.091516693,5.206874614
300,41.5527084,3.692971121,5.942080018
305,40.98389144,3.117093326,4.245404781
310,50.42084969,2.826623703,5.149469527
315,43.81187284,3.305455579,5.951866768
320,46.53902021,2.186232664,4.542639508
325,46.2757129,2.629755281,5.831438416
330,47.45592788,3.209045025,5.136084887
335,42.34786506,3.302587041,5.170631609
340,49.45640333,3.770104714,5.706816165
345,42.3427417,2.778669209,5.019819292
350,38.31562776,3.59526033,6.02979133
355,38.70135002,2.939474264,5.45660649
360,40.69859945,2.814364106,5.809066798
365,43.6638015,3.437766112,5.582629834
370,45.87497038,3.324851369,5.28519389
375,42.2299445,3.547677412,5.586595745
380,44.85816465,3.347842162,5.524429546
385,47.93682184,3.655160694,5.367830681
390,40.66111078,3.823015131,5.036221064
395,39.80960656,3.502710617,5.428910555
400,37.07100806,2.906476569,5.813618129
405,47.43267718,3.431640226,5.673189708
410,40.50483386,2.575174304,4.710724626
415,44.66978409,3.245124811,4.509976269
420,38.89208107,3.659749246,5.172641306
425,51.59784534,2.752209009,5.74549082
430,50.5874322,3.621985642,5.626892964
435,46.15391189,3.135845343,5.304227828
440,37.60109216,3.246884048,5.225071606
445,51.49603963,3.043672973,4.91546399
450,44.14262963,3.586274478,4.934853477
