hour,SOC,DOC,MBC
0,84.14246425,0.35680294,3.839783621
5,74.43750356,0.574786943,1.980032731
10,79.12168236,1.331240275,1.96810353
15,80.42061902,0.99103909,2.973413542
20,80.29215668,0.335573142,3.456339972
25,74.89891623,1.737773064,3.134229457
30,69.68811955,1.186765904,3.064477077
35,72.07225329,2.250301167,1.692222534
40,66.76813242,0.879656583,2.506749471
45,69.96121559,2.218727439,2.361108291
50,73.56677402,2.015810423,2.502964865
55,77.32930922,3.128828233,1.341477736
60,74.96575369,1.058522039,2.321383914
65,65.56846278,2.129918735,3.299180106
70,71.43885169,2.884442392,3.055889548
75,70.57246894,3.24034837,2.863245658
80,68.53675625,3.282450671,3.075486822
85,72.05786476,3.19128413,3.20218318
90,79.15755422,1.979867416,2.519560941
95,70.40668402,3.171211326,2.399520009
100,70.75932135,3.266875616,2.826916197
105,65.24723334,2.428201682,3.703289427
110,65.21530742,3.612289513,2.535480191
115,54.34761075,3.944866666,3.400578436
120,74.51689092,3.65670337,3.068820777
125,72.4457287,3.501554098,2.581175096
130,64.40869556,3.225953699,2.359812189
135,59.20763832,4.134761321,2.793258832
140,65.12082164,3.295193803,3.528664414
145,66.62790942,4.312375974,3.21955687
150,58.27862541,4.550146435,2.231390576
155,63.74293449,4.976196745,2.05846984
160,74.966269,2.349782373,2.988533056
165,52.28193176,4.492513559,2.774925874
170,63.61905411,4.262431718,3.693299443
175,61.53124691,5.305457966,2.643673927
180,61.87300463,4.30420108,2.407179719
185,54.43028765,4.993998887,3.478674513
190,60.58602713,5.131556719,3.445024218
195,60.00070683,5.88175747,2.412240134
200,71.16149653,4.997767912,3.482330237
205,56.07003367,5.013317467,3.76663825
210,56.66893901,4.598168029,2.398471224
215,61.68892133,5.735492228,3.835054796
220,63.53324295,5.26813812,2.925602134
225,58.85346587,4.83836256,2.026920571
230,55.70188218,5.453975421,2.421872257
235,50.35388364,5.599968011,3.090659342
240,62.11806065,6.164986343,4.498249691
245,65.93327434,6.754983889,3.141967956
250,64.03256285,5.489820756,4.043139245
255,51.43792258,5.449527493,2.898131917
260,51.06934746,6.013053461,4.04776431
265,55.670134,6.911422591,3.905500973
270,50.77588179,6.092445441,3.269308242
275,53.06932276,5.890690472,2.733757679
280,59.72186957,4.905882835,2.397145117
285,61.41006918,5.424686226,4.258973945
290,62.8935948,5.633097497,4.492839562
295,60.99039285,6.565298106,4.54979418
300,59.92202545,5.374416802,4.067085556
305,59.81854083,5.41873768,4.185891887
310,60.40972736,6.954252064,4.407929293
315,63.48467515,5.294847225,4.532596213
320,54.87806069,6.884039405,3.982640604
325,63.17282607,5.961716921,4.483110198
330,66.19791721,6.83304599,3.9520367
335,68.53667095,7.42190539,4.513093974
