hour,SOC,DOC,MBC
0,84.11276992,0.340785249,4.354637962
5,74.26053472,0.441554931,1.619307061
10,78.96770607,1.204467728,1.231479983
15,80.43452798,0.620457613,2.723359153
20,79.51438611,0.0001,3.494581805
25,73.9325598,1.629148274,2.827099991
30,67.13537108,0.735376717,2.663727895
35,68.72289468,2.132598035,0.604292851
40,63.22149446,0.317500141,1.628288289
45,66.02023029,1.850030728,1.352498623
50,70.33908925,1.719073626,1.70307435
55,74.8753108,3.361956069,0.114063971
60,72.22799539,0.860222593,1.264208508
65,63.32151862,1.974744829,2.851500618
70,70.37431148,2.67518396,2.761956742
75,68.84663831,2.559924503,3.440622619
80,65.95981754,2.519809067,3.89197079
85,70.00332838,2.15160304,3.722588604
90,77.44889676,0.411510033,2.952785134
95,68.54717754,1.898717596,2.253710605
100,68.34092842,1.79326569,3.026887429
105,61.34151329,0.760915757,4.511143728
110,61.43997096,2.068227108,3.019598322
115,49.93032235,2.256428641,4.147409874
120,70.55542954,1.860808616,3.463179001
125,68.59303968,1.539018041,2.490877473
130,59.82362722,1.312216052,2.599507638
135,54.54425782,2.573148249,3.477725871
140,59.87088441,1.613291231,4.540779976
145,61.69854811,2.881473941,3.836414342
150,54.87347402,3.474880277,2.222316055
155,60.16729274,3.830805142,1.996820592
160,71.60682277,0.177875149,2.955812798
165,48.53396023,2.608124662,2.427163583
170,59.36344488,2.18911857,3.862619129
175,57.53373233,3.561117042,2.61288063
180,56.41190829,2.951547422,2.679315841
185,48.26300781,3.682724725,3.674604445
190,54.76424954,3.947541611,3.876985451
195,53.18802848,5.163632852,2.483025916
200,64.35763153,3.974935587,4.134136327
205,49.95113645,3.732242739,4.321125449
210,50.58327944,2.183055979,2.068664421
215,54.79181752,3.612661793,4.23926341
220,57.234457,3.040064536,2.46346465
225,51.81334534,2.228294247,1.332100569
230,48.76659899,2.998066911,2.290541247
235,43.94721007,3.495828083,2.519762566
240,55.69845844,4.102301941,4.661634949
245,59.59759324,5.095896271,2.328032342
250,56.90536745,3.998679775,3.511520384
255,44.48182887,4.245359379,1.916048394
260,44.34255044,5.245772929,3.123612439
265,49.01970555,7.079542445,2.567193715
270,44.75257844,6.109471295,1.590981749
275,47.1311371,5.816837915,0.388120599
280,53.06938101,5.049246103,0.0001
285,56.032063,6.200314196,1.883883746
290,59.02470908,6.426713698,2.486523085
295,58.18210862,8.385874539,2.226277838
300,58.53401595,5.94241636,1.710330516
305,58.09916433,6.320865782,1.873286702
310,58.67394199,9.058465131,1.970528237
315,61.73307502,7.66544322,1.844049094
320,54.23370743,9.539284188,1.386112442
325,62.08798922,7.896942249,1.995199533
330,66.16532405,9.358205701,1.419751874
335,68.95783737,11.22783211,2.204173419
340,60.30759402,10.41487035,1.974057952
345,65.34946844,11.13438996,1.320211512
350,65.43406197,12.47756594,1.422970432
355,57.44046808,12.93109906,2.849942361
360,64.7391565,13.36925818,2.607279107
365,59.18503337,13.36437802,2.620533625
370,57.80442004,13.52653143,2.652417822
375,51.17021797,13.16433551,2.521920641
380,60.50880334,13.43907463,4.42180686
385,60.70750547,15.36931082,2.51926527
390,54.88981446,14.88320564,3.053095769
395,50.83091385,14.56256324,3.142435216
400,64.15963386,15.83673625,4.56898549
405,50.50512316,13.96212766,5.869977635
410,59.11353784,14.11845488,5.966242054
415,48.75306095,15.54115482,5.666568996
420,61.57523702,12.39680508,4.745411813
425,67.01963929,12.80678368,4.461114163
430,53.25569383,13.92542511,7.445713363
435,62.42544806,12.27892097,5.930795401
440,54.18453664,12.77429895,7.362638605
