hour,SOC,DOC,MBC
0,84.79106836,0.351363015,4.207908396
5,74.16243581,0.353542772,1.716579357
10,79.47359721,0.947616189,1.367071708
15,81.20429839,0.40840066,2.720872101
20,80.03538317,0.0001,3.419932035
25,73.97320233,1.245770196,2.815587689
30,66.30079196,0.429895147,2.661025226
35,67.96908376,1.608855398,0.783030485
40,61.98723863,0.025684341,1.712005869
45,64.97353215,1.315567553,1.459449431
50,69.94304927,1.197931037,1.775490417
55,75.24649699,2.71570795,0.233630268
60,72.41082606,0.254515007,1.55739186
65,62.89170974,1.096977962,3.089361267
70,70.94650427,2.142385241,2.540668574
75,69.19521497,3.938151628,1.252050751
80,65.97788662,3.981524847,1.552262916
85,70.64220306,3.341735876,1.660806139
90,78.90264455,2.367923042,0.455580433
95,69.2079213,2.916515768,0.4868138
100,68.93679026,3.184852313,0.831019493
105,61.04790915,2.337171129,2.090498018
110,61.28119446,3.909468656,0.309774437
115,48.5979395,4.137196361,1.288429816
120,71.25645093,3.521960991,0.900984676
125,69.27127313,2.901812565,0.304937031
130,59.64893659,3.007703219,0.052240737
135,53.94385139,4.235597254,0.677396494
140,59.61637619,3.247555635,1.763943434
145,61.75746611,3.974502418,1.433467922
150,54.8924095,3.789910446,0.530848825
155,60.73779199,4.199673504,0.20920859
160,73.32872635,0.786639137,1.334294417
165,48.1014067,2.892523895,0.860459749
170,59.82195874,2.765727071,1.947720877
175,58.04138127,4.178538085,0.547329835
180,56.48426235,3.41263605,0.714279242
185,47.43528684,3.35379624,2.227619279
190,54.6559587,3.591936786,2.33793733
195,52.71348836,4.465299281,1.189195871
200,65.00564602,3.475356126,2.62820834
205,49.59227056,3.149525721,2.894805815
210,50.32734063,2.588512827,0.235093375
215,54.70335811,3.928711314,2.092602866
220,57.63131428,2.730103641,1.095302603
225,51.61331444,2.479401192,0.0001
230,48.39378503,3.644866217,0.03945747
235,43.33642989,2.692643729,1.451431302
240,56.17978972,2.547398191,3.928475009
245,60.54601846,3.218929417,1.977130183
250,57.46369924,2.274512031,3.03062284
255,44.02632747,2.499248801,1.546321648
260,43.9726534,3.371212517,2.674867362
265,49.13610878,4.995740148,2.173421777
270,44.77931925,4.177764275,1.270853279
275,47.48895349,3.92555763,0.209456819
280,53.76352923,3.317992391,0.0001
285,57.44198739,4.355595805,1.604703844
290,61.26838927,4.565464475,2.110323895
295,60.82083764,6.369168207,1.880726434
300,61.79729655,4.164512935,1.400184722
305,61.24460643,4.541192027,1.529269837
310,61.89483091,7.011659159,1.615460277
315,65.28765204,5.940689956,1.511669342
320,57.62377553,7.579325704,1.042013572
325,66.1001932,6.106429665,1.614464292
330,70.9674112,7.443378047,1.046061375
335,74.21437689,9.271259833,1.728847182
340,64.73099594,8.667541821,1.522664554
345,70.75538893,9.399444957,0.915061816
350,70.96062919,10.73417788,1.006424155
355,62.60962652,11.30623504,2.311951801
360,69.80051573,11.90384031,2.072100593
365,63.54151099,11.88304744,1.998811952
370,62.04107569,12.2646596,2.082201532
375,54.66965538,11.71294853,1.941951769
380,64.94960823,12.19439887,3.712630175
385,65.32007396,14.08412301,1.954088018
390,58.90212649,13.82622845,2.447264216
395,54.87513688,13.49653391,2.563918944
400,69.68796628,14.66141802,3.808189599
405,54.59698566,12.991919,4.93108934
410,64.11435923,13.15439342,5.04962138
415,52.9511632,14.13829746,4.763490934
420,66.80607103,11.3278117,3.876860429
425,72.56086006,11.75764092,3.569104854
430,57.62310457,12.52684637,6.122038894
435,68.04279135,11.2496141,4.713177067
440,59.13928552,11.96021411,5.848284975
445,58.71603054,13.36268407,7.053892352
