hour,SOC,DOC,MBC
0,84.64051644,0.356593516,3.963423817
5,74.14332703,0.375054489,1.881437176
10,79.34425046,0.933587766,1.489740881
15,81.0586391,0.443628017,2.617818071
20,79.73524332,0.0001,3.214817764
25,73.72185285,1.242403921,2.658376903
30,65.8432107,0.501500002,2.508863264
35,67.3030252,1.594798809,0.929770491
40,61.36838208,0.148563826,1.654689584
45,64.21114897,1.340032099,1.42818138
50,69.21698837,1.241645241,1.731531938
55,74.56329003,2.55168223,0.549909957
60,71.69979801,0.354644862,1.589576705
65,62.42807935,1.342511691,2.66933173
70,70.56658179,2.032853698,2.473526943
75,68.69083575,1.872786097,3.155029489
80,65.33628207,1.816434469,3.504260536
85,70.00203482,1.496448972,3.310788412
90,78.1722817,0.10786508,2.762228539
95,68.59889708,1.276114968,2.147324428
100,68.19847612,1.172790277,2.748870862
105,60.12816732,0.332730861,3.890316776
110,60.36218629,1.349678573,2.786873309
115,47.75681407,1.495671703,3.617368303
120,70.09467395,1.175646513,3.067460654
125,68.14396887,0.903235945,2.283937902
130,58.52271209,0.696442746,2.41676277
135,52.8819064,1.685329376,3.1073171
140,58.32627816,0.927689337,3.906484148
145,60.4754219,1.923119524,3.335137222
150,54.01281445,2.390155835,2.079350392
155,59.70429002,2.64779741,1.900039887
160,72.10231412,0.0001,2.567861736
165,47.22163682,1.656638506,2.136835647
170,58.61934018,1.317056004,3.230214258
175,56.90324302,2.380768435,2.309181029
180,55.06400383,1.914034841,2.396445428
185,46.01859353,2.482237203,3.07814008
190,53.1680837,3.290922854,2.661385572
195,51.0510684,4.083785416,1.789783173
200,63.11983233,3.159048198,2.997861742
205,48.09275609,2.883316564,3.165310443
210,48.80853169,2.394466016,0.679414277
215,52.93787118,3.623592317,2.22455365
220,55.9169558,2.562439102,1.413677028
225,49.84978927,2.308855992,0.163859899
230,46.69242832,3.344424336,0.492031819
235,41.81396916,2.541472769,1.748693666
240,54.41806175,2.690786868,3.671015362
245,58.7116659,3.497718411,1.850925723
250,55.51833785,2.637918873,2.739013269
255,42.33415502,2.849597211,1.534874152
260,42.3144945,3.654327321,2.424136468
265,47.3895516,5.148409348,1.990064195
270,43.2223884,4.381171625,1.242489171
275,45.8928864,4.135020719,0.306950294
280,51.90354301,3.568560084,0.0001
285,55.7586864,4.515327128,1.415001136
290,59.80934584,4.703177591,1.875242962
295,59.58257109,6.314357889,1.667431637
300,60.82842799,4.301653066,1.271750691
305,60.20070775,4.638369892,1.393607979
310,60.82188521,6.882833691,1.463816793
315,64.13862788,5.860318848,1.361373543
320,56.84016307,7.333836735,1.01700323
325,65.06446967,5.989617332,1.46935167
330,70.05592514,7.198732267,1.037751738
335,73.32771871,8.817069101,1.63467227
340,63.92306476,8.223460546,1.455000049
345,70.08465775,8.831201338,0.955503542
350,70.29992054,9.994870025,1.031319792
355,62.26682156,10.46664754,2.111968859
360,68.86235156,10.94671236,1.933598143
365,62.55110148,10.91183629,1.958776783
370,61.03713113,11.14437306,1.965737595
375,53.67771092,10.71820542,1.871737327
380,63.80719071,11.08234611,3.303365725
385,64.22197809,12.74071345,1.872129521
390,57.83711573,12.41486702,2.273342145
395,54.06447798,12.09846583,2.332618957
400,68.74138136,13.14639455,3.429615814
405,53.77103725,11.64002447,4.435577058
410,63.15846132,11.77728264,4.501063876
415,52.22085001,12.73015674,4.269789559
420,65.72595224,10.16532419,3.578694668
425,71.25050697,10.53689251,3.376652066
430,56.58055262,11.31979353,5.684566392
435,67.00623956,10.08922524,4.537819317
440,58.25708302,10.59757753,5.648681243
445,57.86825771,11.78094213,6.672709302
450,67.41049455,12.05294642,7.090333557
455,58.58934733,12.88702139,7.102556294
460,64.33769483,13.38724939,6.962241238
465,64.32752907,13.75241407,7.968980692
470,59.92674301,12.2772991,6.57041463
475,59.26643846,13.04647955,7.312367432
480,62.98001163,13.73468294,8.335729477
485,54.8463962,14.48427337,7.797724521
490,52.83996858,14.14632299,7.321469858
495,62.23063776,15.7735802,7.306138383
500,61.36902309,15.81516971,8.511839914
505,62.15150372,15.27783197,6.810231892
510,63.75746838,15.68523509,7.945477198
515,70.47716788,15.30368232,8.519219137
520,65.27706741,16.89541043,8.300861325
525,60.99497394,16.18532031,9.346804396
530,70.42455439,15.27957956,9.92447863
535,62.2470185,15.31463256,8.397125284
540,74.81762933,15.04113184,10.80992875
545,67.08557039,15.31434415,10.45821205
550,72.60133086,15.00720595,8.971364383
555,63.0446098,15.39238771,10.04301276
560,72.26711793,13.80239135,10.85541161
565,74.30604135,13.38169964,10.99234924
570,62.68787863,12.22405636,8.964695476
575,78.69575368,11.34900797,8.822502749
580,68.61113701,9.807979857,8.589647623
585,73.42567468,10.86563249,10.35810828
590,74.90784757,10.83427228,11.72386992
595,68.1966982,10.85832994,10.8582782
600,75.38025003,12.20629011,10.68758228
605,80.50469224,10.46645934,9.573632433
610,69.98941866,10.59298123,9.97818568
615,63.18687743,10.15198531,11.73662503
620,73.84574755,12.34825052,11.27691007
625,62.03383697,9.821066295,11.3855189
630,66.60800157,10.49154082,12.1812884
635,65.43777812,11.76521202,11.44289658
640,72.36819932,10.86697894,11.66517937
645,63.7295581,10.66847266,10.6113638
650,53.58403473,10.99795264,10.33491612
655,54.77486035,10.67678342,10.32157665
660,52.14237673,10.52100779,10.01468644
665,52.40248753,10.69277692,9.303949424
670,51.28736921,10.46220768,8.983304194
675,39.70260982,11.35784908,9.63555211
680,39.32842344,13.19295702,9.033016851
685,41.75520034,11.96259387,11.21742646
690,45.14804285,12.22150932,9.820217637
695,47.53853353,11.49609382,11.14453188
700,53.39002622,14.35135514,10.8083636
705,51.34340174,11.17391201,9.191392635
710,64.69345496,10.99243819,8.501459406
715,47.78656089,10.49331286,9.633941484
720,46.61290405,12.45060164,10.13346118
725,44.70694471,12.2660793,10.96446169
730,43.85539899,12.04637023,9.07541054
735,53.06953237,9.984078824,10.15739485
740,50.8927052,10.93511856,9.447717192
745,43.23939793,9.863465565,9.531031969
750,52.65891103,9.098251776,8.238640405
755,43.25509267,9.180312497,10.40774724
760,44.36053456,9.529628367,7.948220523
765,52.19697626,8.599830157,8.653514922
770,43.56578157,8.681664012,9.408390689
775,43.79381339,10.48870499,7.358158946
780,42.6152728,9.552106167,7.922470292
785,35.26356551,7.721184921,7.735981509
790,60.04853363,7.580912993,7.966578413
795,60.95651922,7.713801733,7.884685076
800,47.16514302,8.405156153,8.431198346
805,45.6833375,8.757454428,7.518275409
810,48.87178478,7.117769233,7.910049826
815,46.45528982,7.353508617,7.729714932
820,39.68741857,6.811749424,7.176587289
825,32.04412308,5.371405239,7.432462187
830,45.51621227,6.214254573,6.95519752
835,45.72160158,6.259706828,9.479072588
840,42.79828969,4.978117789,10.08411326
845,31.93777323,4.80556596,9.510177506
850,40.83900285,5.509688047,10.01412317
855,48.30616083,5.236412035,9.163313708
860,46.26689304,4.440730964,8.155953793
865,33.28805464,5.306644991,9.04592134
870,26.8347713,5.347473864,8.147801154
875,29.04562737,4.599838221,8.469877726
880,45.98247533,3.994958215,8.29502894
885,49.30719992,5.62606285,8.485577054
890,41.30153411,5.644063961,7.532433966
895,50.82504928,3.874933284,8.188377459
900,47.06124127,4.377781403,8.464693963
905,36.77312293,5.67390898,9.160636088
910,43.16570291,4.32327309,7.889462649
915,43.67120259,3.863918322,8.527459646
920,42.91742769,4.356598938,7.515952519
925,45.527872,5.310594169,8.931874241
930,40.46803418,3.892642111,8.895424266
935,39.96436942,4.269267635,10.15833154
940,40.6642451,5.722823784,11.37521267
945,37.62917519,4.130485418,11.45748825
950,44.60860489,4.441428701,10.88352575
955,35.76629377,2.706372319,11.02745562
960,41.50459853,4.992497435,11.35382833
965,50.84559409,2.926066985,10.71155591
970,41.68448179,3.6820092,12.24915739
975,56.92806963,4.268211293,12.7885307
