hour,SOC,DOC,MBC
0,84.09678779,0.373741335,5.350949771
5,74.2174686,0.35883189,0.941219852
10,79.0021531,0.754770133,0.71113419
15,80.53247522,0.367830758,3.11515254
20,79.21681271,0.034697804,4.296230018
25,73.52970936,1.167186904,3.420662107
30,66.06790743,0.625685609,3.233827519
35,67.34452198,1.604216163,0.0001
40,61.7356661,0.517171891,1.873528313
45,64.32492954,1.242867874,1.518747131
50,68.95240127,1.414064436,1.878803268
55,73.89946542,2.313030496,0.0001
60,71.15390011,0.560815496,2.073520633
65,62.4474396,1.304386525,4.421926894
70,70.00823913,1.745016835,3.977486245
75,68.17760992,1.400713783,4.25948399
80,64.97103938,1.426298467,4.870441314
85,69.26984013,1.15372267,4.877455246
90,76.84324854,0.111489984,3.416186828
95,67.84447709,0.972524972,2.697522793
100,67.39778265,0.867495392,3.813253683
105,59.78495962,0.391118248,6.042911176
110,59.94419048,1.078773293,3.422144421
115,48.11387439,1.101383273,5.341198553
120,68.91821286,0.901762268,4.372945537
125,67.04032865,0.728622012,2.997694205
130,57.99570428,0.745518462,2.795265619
135,52.67158579,1.567476972,3.991418923
140,57.69824046,1.123177479,5.696519551
145,59.65514372,1.863727815,4.73696207
150,53.58605973,2.488274137,2.242063392
155,58.84521217,2.646560477,1.834149095
160,70.3645429,0.420732442,3.700795697
165,47.08604725,1.621609763,2.992662192
170,57.66609913,1.354752341,5.212430664
175,56.01768863,2.236505669,2.919359727
180,54.23984859,2.427148172,2.653438197
185,45.74220689,2.630913105,4.85133391
190,52.37556458,3.357357273,4.522337421
195,50.34133246,4.036139928,2.370739743
200,61.56685211,3.455083847,4.914565599
205,47.49753612,3.122494239,5.435611316
210,48.12263117,2.634380622,0.927244486
215,51.9292408,3.583995401,4.222799355
220,54.66780255,2.550609566,2.421217399
225,48.96073068,2.537349423,0.0001
230,45.96889005,3.578558196,0.548604217
235,41.37715982,2.495990682,2.983391636
240,53.09894253,2.564830906,6.790408129
245,57.06319566,2.667553416,3.772600286
250,54.0402014,1.785752227,6.215986101
255,41.68796275,1.962632456,3.652324549
260,41.63006749,1.996823754,6.442569426
265,46.32156406,2.507981044,6.479107103
270,42.38244161,1.901279641,5.033546681
275,44.82596104,1.347093378,3.691189437
280,50.39320784,0.566752778,3.153329638
285,53.93940688,0.606804339,7.78236914
290,57.64764502,1.011244512,8.343609985
295,57.36285468,1.508621518,9.05043343
300,58.43684453,0.66455173,7.26391641
305,57.80312043,0.794118863,7.739172966
310,58.33161634,1.86878158,8.771677702
315,61.36554685,0.548474524,9.575462201
320,54.46292919,1.986637574,8.297224771
325,62.08824297,1.120745718,9.116484634
330,66.66150585,2.052965892,8.126154852
335,69.64424944,2.67735177,10.32124346
340,60.81134379,1.945783662,10.48310793
345,66.45796817,2.187293858,9.807906419
350,66.58522159,2.526296647,10.80837241
355,58.99574224,2.286900983,14.04541242
360,65.17195134,2.216722183,14.35915828
365,59.23964024,3.089805886,13.02979224
370,57.76422173,2.208745584,14.78957857
375,50.85322718,2.848524433,13.01360119
380,60.24974457,2.09027603,17.71874443
385,60.56437351,2.996713852,15.12482477
390,54.54775989,2.433604603,16.59313364
395,50.91238594,2.204081844,16.75906943
400,64.51820265,3.361474027,18.41280112
405,50.52463563,3.072831412,19.21957439
410,59.2127652,2.914285674,19.7692196
415,48.93159796,4.44246277,17.87780587
420,61.49983283,3.430674336,15.06290047
425,66.63501916,3.987214397,14.14023356
430,52.89325313,6.571274078,15.66249048
435,62.51840292,5.620613489,13.36364479
440,54.30614595,6.675342395,14.76206757
445,53.88276727,7.153501341,17.60869655
450,62.7145006,8.538651251,16.51738359
455,54.44578149,7.792212416,18.75896124
460,59.75851343,7.59277883,19.33892337
465,59.67260791,8.435497605,20.57140435
470,55.48679461,7.672601154,16.98058317
475,54.81997481,9.034809864,17.2631017
480,58.29809062,9.43476837,19.6301785
485,50.69615847,7.996523623,21.79744422
490,48.71377451,7.345400378,21.59461226
495,57.35785809,8.583162662,21.41095281
500,56.52819862,8.618108353,23.82182744
505,57.14619983,7.90866951,20.70270047
510,58.56868813,8.218297749,23.17614093
515,64.7390961,7.820485974,24.69667157
520,59.84052381,8.693277543,24.69418152
525,55.84239771,10.65485108,22.47220879
530,64.56965467,10.10337398,23.50589859
535,56.8620348,9.607632759,21.12874976
540,68.55171847,10.09362491,25.16175016
545,61.22852659,9.216003669,26.23421093
550,66.35496786,9.212056496,22.58489853
555,57.42735075,9.170651756,25.42663658
560,65.84085417,9.201116104,25.13201427
565,67.68376721,9.086860916,25.00757801
570,56.73833423,9.124599892,18.96137801
575,71.5139938,8.077636665,19.27550982
580,62.12742115,6.646614407,19.39132294
585,66.53917295,9.076503562,20.24142291
590,67.94490477,10.46032509,20.46436221
595,61.67037477,11.15486904,18.49152047
600,68.35159305,12.85687946,17.90153817
605,73.08135782,11.37388347,15.08225618
610,63.27760297,10.88191346,16.49699195
615,56.95965736,10.52467495,19.08526242
620,66.79087021,12.91408489,17.72193907
625,55.77816908,10.81912676,18.11759865
630,60.09750604,11.42307381,20.1820688
635,59.06124732,12.34108501,18.81232086
640,65.53526321,11.88619153,19.90178733
645,57.54341138,10.902713,18.99866935
650,48.12967451,12.38895817,16.36771203
655,49.26320351,11.58943325,17.10014962
660,46.80445052,11.26896923,16.5248666
665,47.08471622,10.57527447,16.87950493
670,46.06027097,9.206547768,18.13850275
675,35.3240407,9.663938442,19.84322546
680,34.94256901,11.8500351,17.08301387
685,37.15713191,11.52821403,20.79186463
690,40.36575522,11.0418811,18.99031288
695,42.51532507,10.56916209,21.68517262
700,47.94401629,10.41178527,24.72444668
705,45.8524118,9.825878454,18.30366861
710,58.29550731,8.958592517,17.93761077
715,42.5445328,9.304105303,19.05646437
720,41.40802068,11.10042544,19.85609254
725,39.63824638,10.82883574,21.94092641
730,38.7821659,10.46642578,18.10358084
735,47.34231029,9.828700768,19.08472556
740,45.40695608,9.89345223,18.72081665
745,38.15663072,9.103448534,18.8296776
750,47.01149417,7.644674307,17.55074869
755,38.19326416,8.473762679,20.80368859
760,39.11292228,8.883767053,15.1584156
765,46.38709937,7.981582085,17.06221544
770,38.41972018,8.487119349,17.88345049
775,38.72124979,8.518385513,15.95750883
780,37.56852256,9.219902529,14.75653233
785,30.59216661,7.775384643,14.18461557
790,53.65683109,7.421993257,14.50470221
795,54.51302269,7.272932284,14.1238258
800,41.62895356,8.093128863,15.70060207
805,40.2541338,8.382887755,14.09842442
810,43.37680785,7.169228291,14.89436835
815,41.10993286,6.911489249,14.42126196
820,34.9297864,6.328954001,13.56630879
825,27.77494139,5.216062927,14.16771961
830,40.35915638,5.776446416,13.05900844
835,40.41442658,5.713501658,17.47867848
840,37.627038,4.83011549,17.87685574
845,27.51050093,4.80372251,16.61550299
850,35.82328284,5.373733091,18.00014854
855,42.65935759,4.717952784,16.48105559
860,40.7610973,4.317891516,14.67515791
865,28.75976039,4.950001024,16.6297987
870,22.76589969,4.837762113,15.0748281
875,24.82791116,4.300559146,15.63454224
880,40.48431249,3.487198506,15.59675473
885,43.55024067,4.99421705,16.17292598
890,36.10359771,4.882315919,14.09937728
895,44.99994852,3.484693871,15.15155346
900,41.41013576,3.959832072,15.21387992
905,31.79567126,4.97942694,17.91862161
910,37.73980843,4.019244137,14.04782328
915,38.18285274,3.24689168,15.67948092
920,37.52980475,3.807248937,13.57326551
925,39.83045123,4.456833878,16.75356771
930,34.97042871,3.612437627,15.92295034
935,34.5236483,3.623774666,17.87267992
940,35.23479349,5.034922519,19.4140947
945,32.37035423,3.853632807,20.26242079
950,39.02196382,3.841812694,18.90443408
955,30.71175635,2.507925287,18.64692181
960,35.88770435,4.282288416,19.59449222
965,44.69367812,2.61053901,18.52718765
970,36.04348511,2.989162645,21.0213298
975,50.35502305,3.746866133,21.82220194
980,39.79533803,2.275033951,20.41491156
985,34.69105956,2.603035898,21.94806878
990,34.29895151,3.079612648,23.03545149
995,34.35935962,3.667304768,23.75319443
1000,28.18178244,2.845370516,22.25854454
