hour,SOC,DOC,MBC
0,83.85507844,0.34436851,4.177602086
5,74.23422543,0.439661127,1.746255838
10,78.72857742,1.183965922,1.58173247
15,80.22566354,0.597852912,2.904418865
20,79.06724852,0.0001,3.562180138
25,73.61611046,1.55239977,3.060667369
30,66.39819854,0.801607195,2.860249036
35,67.59003595,1.872521589,1.31298456
40,62.21106962,0.0001,2.4524937
45,64.79552329,1.382736176,2.278001855
50,69.24982711,1.223918295,2.533231244
55,73.85578505,2.423252712,1.400541503
60,71.15034505,0.0001,2.693664929
65,62.73393083,0.96447978,4.001358516
70,70.02451455,1.851213893,3.6897052
75,68.2988108,3.478241874,2.50337525
80,65.10721422,3.56714384,2.786703303
85,69.20386612,3.026893724,2.90257638
90,76.56426879,1.86766982,1.726623356
95,67.91777436,2.664514696,1.758347114
100,67.49306342,2.953038894,2.088686081
105,60.08346173,2.033591448,3.322913128
110,60.22978,3.728810297,1.57615217
115,48.87334519,4.025409052,2.517999792
120,69.02769778,3.408039919,2.141269825
125,67.13854692,2.849902798,1.55034824
130,58.31087592,2.90897052,1.319520645
135,53.18341857,4.212816872,1.934872558
140,58.13812113,3.120341196,2.997843297
145,60.04462824,4.002793105,2.675312969
150,53.96422629,3.901193667,1.752206326
155,58.96489824,4.40647855,1.446054679
160,70.13421791,0.734042501,2.576784168
165,47.67773983,3.117124173,2.130593514
170,57.9733008,2.965744543,3.199320476
175,56.23055254,4.524630899,1.824912929
180,54.55015509,3.616847147,1.919650957
185,46.41127584,3.68519444,3.421878477
190,52.85214781,3.923944697,3.497576234
195,50.9409517,4.880347991,2.317331207
200,61.674249,3.824007712,3.717169666
205,47.97300463,3.534016698,4.016113324
210,48.61509318,2.95521476,1.543819797
215,52.39436796,4.423566704,3.369178481
220,54.96926848,3.200918938,2.389763642
225,49.36291204,2.944797086,0.9882764
230,46.45127939,4.179306513,1.369574904
235,42.00818374,3.247428264,2.734080095
240,53.38939442,3.148735865,5.102080422
245,57.15139203,3.925754009,3.206560162
250,54.16256388,2.888430832,4.232003793
255,42.20473244,3.111441572,2.75206786
260,42.17272643,4.054040055,3.920920297
265,46.73529756,5.781316171,3.453531223
270,42.78333583,4.89653732,2.572112877
275,45.05207044,4.660333362,1.576051106
280,50.52671456,3.927586025,0.943649041
285,53.90647462,5.020575909,2.977574829
290,57.39447136,5.244357152,3.472752044
295,56.90459099,7.174336271,3.257780471
300,57.75222017,4.875907627,2.791267314
305,57.21449355,5.240032158,2.923483025
310,57.78168752,7.857603809,3.019102884
315,60.72010346,6.565357887,2.930050652
