hour,SOC,DOC,MBC
0,84.61608549,0.368256869,3.994951618
5,74.18033529,0.363831855,1.852346955
10,79.39908591,0.79979595,1.347127984
15,81.09653977,0.396479869,2.503925437
20,79.80409645,0.0001,3.129311855
25,73.81202702,1.084162815,2.509275576
30,66.0640992,0.476753966,2.339395558
35,67.58348194,1.372217463,0.707665759
40,61.67007997,0.211043896,1.416301949
45,64.51078904,1.156499403,1.173128098
50,69.46332017,1.101708432,1.509315219
55,74.78442962,2.183171887,0.320801276
60,71.95975013,0.410476097,1.378533673
65,62.68311871,1.32428622,2.314735377
70,70.72411486,1.930345298,2.049160495
75,68.89028745,1.720408071,2.888881671
80,65.62377616,1.673708261,3.277039021
85,70.25936249,1.390411513,3.014475003
90,78.37559278,0.251846233,2.496753061
95,68.82891015,1.194972759,1.777670449
100,68.46824062,1.087968623,2.419901468
105,60.5308876,0.425691802,3.626949099
110,60.76142618,1.226565545,2.539906844
115,48.21553395,1.319944609,3.366966038
120,70.45313343,1.067405816,2.76920856
125,68.52231836,0.840721084,1.926102499
130,58.99692405,0.694568657,2.138522341
135,53.3756024,1.506120188,2.897075484
140,58.81929688,0.910408062,3.717793218
145,60.94133911,1.71180033,3.086749036
150,54.45063633,2.118008722,1.773643919
155,60.15436408,2.308342712,1.60018214
160,72.49651973,0.0001,2.222763806
165,47.70142144,1.458984133,1.754937928
170,59.08498612,1.177694553,2.890592273
175,57.39162043,2.037072693,1.994829116
180,55.64051792,1.714555786,2.164299705
185,46.64684219,2.158062646,2.766819298
190,53.74824424,2.442590524,2.830158725
195,51.6811449,3.247134593,1.777532146
200,63.7314568,2.469209904,3.073219509
205,48.72625462,2.268922401,3.157418316
210,49.4285101,1.158542179,1.353272757
215,53.57057737,2.062136502,3.052821974
220,56.51947926,1.691610449,1.577354153
225,50.52524893,1.134444151,0.728934372
230,47.37298924,1.615794098,1.553484514
235,42.477327,1.956677752,1.577529885
240,55.03454844,2.649499298,2.877955137
245,59.32371041,3.296402906,1.069455799
250,56.19482446,2.651262526,1.988339568
255,43.04076269,2.843489538,0.748353551
260,43.00130993,3.494237208,1.699891819
265,48.04993782,4.743855181,1.280172347
270,43.8804301,4.116460037,0.527350606
275,46.5498855,3.887660374,0.0001
280,52.56444425,3.452023491,0.0001
285,56.33994408,4.222740293,0.886572568
290,60.30076276,4.353920381,1.326019407
295,60.03712632,5.685617386,1.150543688
300,61.21489769,3.971051609,0.761449456
305,60.59419501,4.244302388,0.88993955
310,61.20074788,6.078587773,0.984555891
315,64.50227053,5.277254866,0.909694873
320,57.18375879,6.430161804,0.560053122
325,65.40304854,5.286131063,1.047139645
330,70.31016382,6.257031147,0.616201296
335,73.53293571,7.599834063,1.252782584
340,64.17285628,7.110385506,1.084432217
345,70.26373023,7.587097695,0.5945146
350,70.46132967,8.526085384,0.691490474
355,62.38879205,8.905088311,1.817694443
360,69.06187306,9.294457542,1.6704426
365,62.79960212,9.210320023,1.79578323
370,61.2923084,9.401471479,1.761955247
375,53.96615964,8.954732372,1.708222276
380,64.03698122,9.24852072,3.15129387
385,64.41620468,10.57153762,1.73831753
390,58.05610879,10.28743145,2.162373608
395,54.23071705,9.972271452,2.202812257
400,68.80606982,10.76908755,3.424880408
405,53.90002974,9.495595382,4.574796402
410,63.22710482,9.559478736,4.612481486
415,52.3081055,10.25202477,4.40008436
420,65.78786948,8.138093584,3.777728724
425,71.31087647,8.406657428,3.671336281
430,56.66686878,9.916336686,5.36737129
435,66.9929855,8.481917705,4.687717828
440,58.26964515,9.220337317,5.747472254
445,57.85983383,9.607645424,7.490930268
450,67.32709426,10.75615825,7.035962515
455,58.52656037,9.966059717,8.72731464
460,64.24204543,9.83969428,9.045940635
465,64.1978546,10.5520899,9.661256529
470,59.77056434,9.744923272,7.575673549
475,59.0909341,10.72424002,8.246093054
480,62.82902169,10.8828813,9.962605604
485,54.73823617,9.696680794,11.37509245
490,52.66865639,8.789132461,11.87602478
495,61.94886704,9.996681393,12.09923985
500,61.09054649,10.16649622,12.91123349
505,61.79888648,9.347202527,11.6478531
510,63.36436406,9.506323365,13.18845275
515,70.00481209,8.923593068,14.26142746
520,64.80841728,9.666114268,14.99475994
525,60.56009405,11.35286514,13.06526212
530,69.92129015,10.6028041,13.71428731
535,61.7301327,10.36296764,12.24861191
540,74.25222825,10.50428146,14.46189837
545,66.47716069,9.747116104,15.31658513
550,71.97949406,9.605384128,13.6626376
555,62.47010201,9.576280426,15.21738417
560,71.52811457,9.299796793,14.73516963
565,73.53887882,9.333806659,14.12013924
570,61.89614275,9.305874174,10.62622092
575,77.744293,8.495696487,10.29587614
580,67.74802084,7.034728729,10.22122878
585,72.52087521,8.999145951,10.82958164
590,74.04285994,10.02422363,10.92130751
595,67.36269335,10.40873493,9.438441153
600,74.5230085,11.33978279,9.466880812
605,79.61014425,10.34865965,7.807536252
610,69.16070122,10.27436823,8.214197371
615,62.42273071,9.854190811,10.2267296
620,72.9738235,11.7227727,9.850640996
625,61.22423228,9.576878967,9.973973192
630,65.83707518,10.08998566,10.79239216
635,64.72568576,11.06650796,10.06083949
640,71.64913599,10.26948403,10.38994083
645,63.0978818,9.314329135,10.31715667
650,53.02890503,10.62497403,8.651175081
655,54.23333066,10.22781782,8.607318447
660,51.61038926,10.37788033,7.916416564
665,51.90204614,9.588420449,8.365060254
670,50.8078532,8.377270295,9.255004118
675,39.31374881,8.809229296,10.34195141
680,38.91252624,10.94154607,8.952807224
685,41.29702986,10.31689389,10.76266628
690,44.71059846,10.06024808,9.74918945
695,47.04284895,9.415765466,11.19698599
700,52.85453626,9.91370161,13.12494675
705,50.69097705,8.85487131,9.477229143
710,63.99454921,8.361437774,9.001317646
715,47.16685732,8.476342154,9.492093934
720,45.9746218,9.817693814,10.56935151
725,44.07736394,9.388723757,11.89916415
730,43.18401128,9.358202624,9.562466099
735,52.34859908,8.298250495,9.862677578
740,50.24740387,8.608622848,9.580489404
745,42.55084888,7.786555142,9.537139894
750,51.98479073,6.642628305,8.760999864
755,42.58584262,7.38135648,10.0916116
760,43.62082234,7.842900457,7.267244733
765,51.41329379,6.911879444,8.165748937
770,42.87379344,7.202783377,8.697081502
775,43.15874179,7.655922952,7.83090133
780,41.95201951,7.974651436,7.038016528
785,34.55396596,6.575300078,6.65716041
790,59.22500489,6.405409494,6.93392564
795,60.1468573,6.465876607,6.907118987
800,46.39931383,7.043211335,7.427771041
805,44.93553104,7.307736504,6.453354623
810,48.21228483,5.957316865,6.871733258
815,45.80082294,6.080543771,6.71078205
820,39.14514725,5.611781768,6.106426571
825,31.51830142,4.438473523,6.389925122
830,44.96240229,5.09805843,5.930300593
835,45.09089657,5.107738137,8.71038583
840,42.1479477,4.065366297,9.532915633
845,31.34497911,3.932088177,8.978316061
850,40.23318299,4.505389858,9.458075127
855,47.60619267,4.238140586,8.529564078
860,45.58380981,3.598647025,7.422547456
865,32.7191694,4.283827527,8.332611855
870,26.31550122,4.305349927,7.360901102
875,28.52949957,3.701911318,7.744181844
880,45.33570445,3.179897513,7.501932915
885,48.63510325,4.503220837,7.66603765
890,40.67953858,4.50125659,6.704585125
895,50.19638232,3.07112051,7.476701478
900,46.41525477,3.48032853,7.89886132
905,36.16033404,4.519755759,8.358555966
910,42.52713857,3.423748672,7.300507908
915,43.02803483,3.025123347,7.907792666
920,42.32770426,3.437747526,6.887125556
925,44.87034201,4.202596841,8.322633061
930,39.75730397,3.066642708,8.462854759
935,39.27850808,3.351083462,9.948177655
940,40.02611767,4.548954671,11.50210147
945,37.00558062,3.280834808,11.44293379
950,44.05324872,3.522461835,10.9059621
955,35.21583765,2.122403828,11.2110936
960,40.85044563,3.97183602,11.4810776
965,50.23230576,2.310217452,10.76633991
970,41.07493242,2.923712022,12.60717471
975,56.33206739,3.427709745,13.27706945
980,45.09746899,2.056892686,12.47051087
985,39.60463288,2.589613383,13.50636269
990,39.23378852,3.051969096,13.66227162
995,39.29081414,3.756475694,14.55411427
1000,32.69110378,2.747595525,13.30327857
