hour,SOC,DOC,MBC
0,54.03115348,2.601608834,4.77658236
5,55.29596069,2.83423116,4.73943307
10,50.12569382,2.64803441,4.831791948
15,54.30756528,2.864938053,4.812385988
20,52.65856151,2.878533229,4.349742893
25,52.7624896,2.51004737,4.570588727
30,52.79145967,2.737387806,4.069015172
35,56.77669423,2.759888725,4.645750218
40,56.88425993,2.658323354,4.731541885
45,55.61581236,3.267262473,4.314440923
50,51.17315623,3.005117315,5.026733602
55,52.310936,2.999210186,4.46452386
60,50.42847557,3.387576391,4.647978479
65,47.91992795,3.28039138,4.728884393
70,49.33781191,3.476228375,4.791921872
75,50.50620345,3.440733621,4.080302058
80,51.14988892,3.242100459,5.13710076
85,55.64684901,3.302271407,4.558948222
90,50.43951767,3.136514554,4.64874894
95,58.9650105,3.090851607,4.124876048
100,54.01641916,3.232143044,4.588971034
105,54.01482639,3.380584997,4.218674154
110,50.83720327,3.10717288,3.890637038
115,52.70086397,3.457608776,4.484618554
120,50.23824785,3.524237594,4.775036734
125,50.98307447,3.276774537,5.004155334
130,51.57965421,3.324629208,5.255479607
135,51.80978037,3.443628277,4.472019181
140,50.65597118,3.458755222,4.404602842
145,50.90722985,3.483027766,4.673468629
150,53.80852548,3.631757804,4.363991759
155,55.32441915,3.442910994,4.959689406
160,53.74062951,2.976951018,5.037903056
165,51.46566037,3.42749151,5.099385866
170,50.27347474,3.264429145,5.208745687
175,50.84449021,3.304208609,4.725203431
180,56.61538036,3.284102707,4.882601183
185,55.56469383,2.860670575,4.697329632
190,52.54961241,2.88934821,5.065133784
195,56.6532857,3.097172467,5.185581689
200,52.94868678,3.265076053,5.066900447
205,50.94074225,2.919137627,4.759938697
210,54.87983203,3.240295144,4.798370598
215,52.09813709,2.911439734,4.601135536
220,49.01184668,2.616245635,4.150405266
225,48.94774755,2.762359398,5.083574211
230,51.45620832,2.817001502,5.263781207
235,49.67722939,2.442475265,5.030452857
240,48.33826322,2.260384847,5.281432886
245,51.74283981,3.046663019,4.909112426
250,50.25350922,2.860427739,4.970853705
255,48.70898101,3.538658542,5.185825716
260,48.30879355,2.785143551,5.350165797
265,46.9887453,2.719988119,5.111652701
270,47.17199602,2.553213397,5.448697724
275,47.97872154,3.355063392,6.081141643
280,45.47755172,2.965115689,5.621496342
285,49.50817697,3.28728108,4.684284645
290,45.32871629,3.256915061,6.11932433
295,44.04655675,3.488110024,4.950573701
300,46.36619383,3.022462737,4.553676523
305,43.32007409,3.089185088,4.624746249
310,45.61785894,3.052830013,5.700553932
315,40.7249353,3.019127345,5.716599832
320,45.9387605,2.674015062,5.533309037
325,44.02354857,3.047337883,5.819005529
330,46.64046479,2.67373674,5.858237885
335,40.4522422,2.912103136,5.511474275
340,46.41970233,3.279504048,5.229989264
345,49.40987677,3.348732345,5.619321243
350,47.07185938,3.324333316,5.755741285
355,45.10184874,3.415701203,4.672719997
360,40.79979627,3.020545188,5.769924162
365,39.11786621,3.281819092,5.050416079
370,45.83529143,3.145324591,5.362250942
375,41.83197366,3.087535022,6.124391863
380,41.0599787,3.732501085,4.766643304
385,44.45934536,3.143331929,5.047032182
390,39.62741936,3.216410833,4.575940259
395,41.48509979,3.238733246,5.164598358
400,46.27949446,3.474814655,5.210519352
405,44.17787991,3.041972023,5.463111454
410,46.72929096,3.337875635,5.246050221
415,48.74336698,3.286490271,5.251129608
420,42.97456667,3.227502099,5.012143723
425,40.80728397,3.368694977,5.612882923
430,35.6372364,3.35772377,5.140150508
435,41.36174758,3.646320063,5.14569953
440,41.78483373,3.637830119,4.818859942
445,44.20890618,3.356382909,4.569613791
450,43.81009884,3.462997168,5.60671435
455,45.10552155,3.427185436,5.495782418
460,42.83973588,4.003831151,4.698102851
465,42.17371466,3.774324618,5.60529971
470,37.33807827,3.70616661,4.847281744
475,46.01969395,3.196753176,5.138553626
480,42.32547714,3.555405555,5.366725987
485,45.14115894,3.739697441,4.891640153
490,46.95526137,3.480434261,4.965745687
495,42.38727609,3.965158512,5.209325421
500,45.79473648,3.83960175,5.987956597
505,42.79879436,3.348706559,5.486215692
510,39.6617388,3.552109625,5.940809895
515,43.64536546,3.396263161,5.598577888
520,40.40174685,3.760237214,5.498816565
525,42.44147926,3.984852717,6.070083766
