hour,SOC,DOC,MBC
0,44.95847415,3.629418913,7.440003192
5,45.86227166,3.936382258,7.403556502
10,42.01118676,3.703652249,7.542402316
15,45.0639135,3.962475495,7.534444398
20,43.83712147,3.9796785,6.847303482
25,43.88987476,3.461422616,7.177182897
30,43.87543312,3.765371024,6.404661026
35,46.77739883,3.813729118,7.295294786
40,46.83282452,3.679877044,7.434049817
45,45.86989988,4.513821915,6.776323998
50,42.55590825,4.163024462,7.848869268
55,43.35322317,4.169767634,6.995045233
60,41.91979704,4.695854528,7.278415587
65,40.04091236,4.530757087,7.416035063
70,41.05426403,4.794391912,7.49390465
75,41.89480245,4.735987922,6.412526695
80,42.32537986,4.480861129,8.028622534
85,45.6057319,4.558266538,7.160907337
90,41.75471839,4.316211722,7.30985181
95,48.02109175,4.19647675,6.614787798
100,44.34814372,4.496426048,7.195943586
105,44.30859291,4.926852192,6.37037081
110,41.92581723,4.513137339,5.921522233
115,43.27092909,5.060238418,6.731145379
120,41.42978802,5.220012774,7.080883853
125,41.94192585,5.070005698,7.219764238
130,42.34657265,5.210669488,7.509255553
135,42.49434206,5.45002576,6.227899308
140,41.62132453,5.652877748,5.920107113
145,41.7829448,5.543271676,6.48022625
150,43.88922752,5.925033059,5.796216393
155,44.97247028,5.727783567,6.630170741
160,43.77479519,4.955703677,6.897167383
165,42.08842135,5.605145202,6.926580693
170,41.19150242,5.384968294,7.084078008
175,41.56533478,5.402429024,6.375638183
180,45.77157956,5.639159662,6.311475823
185,44.97445673,5.087351808,6.007535674
190,42.72818954,5.059101289,6.618799147
195,45.7283223,5.444582747,6.666050872
200,42.95999639,5.769378381,6.371112222
205,41.45387924,5.12655621,6.089784354
210,44.32603848,5.590857463,6.097133637
215,42.2499339,4.884676319,6.080150201
220,39.9471991,4.636085091,5.221770467
225,39.85398569,4.982082211,6.460693415
230,41.68374604,5.393752572,6.34707126
235,40.36796034,5.127290489,5.714447317
240,39.37862447,4.946565356,6.009885435
245,41.87355485,6.003164874,5.439634371
250,40.72942133,5.638837429,5.659028084
255,39.56696749,6.585312094,5.933889708
260,39.26795951,5.465181985,6.306811455
265,38.28573451,5.190062217,6.142034112
270,38.40044432,4.822421554,6.808806318
275,38.9583738,6.304594742,7.305657859
280,37.10236282,5.592936078,6.810606353
285,40.06371925,6.116156579,5.275981716
290,36.97981806,5.965266794,7.569821586
295,36.03283303,6.269167998,5.801490822
300,37.71275855,5.414823113,5.453661457
305,35.44920378,5.551376347,5.49864935
310,37.13598331,5.867807335,6.711128726
315,33.49202297,6.102865999,6.41001026
320,37.32073523,5.782888128,5.968733706
325,35.88707471,6.253267221,6.435492092
330,37.79597096,5.580955805,6.681217011
335,33.21693755,5.82139624,6.238820029
340,37.60184022,6.360586328,5.753820932
345,39.77820473,6.342639792,6.462993041
350,38.01985028,6.021056075,6.983379526
355,36.54601828,6.248356257,5.213857172
360,33.36268996,5.72023625,6.869932132
365,32.09150406,5.706032903,6.189540047
370,37.02113045,5.418434947,6.780687011
375,34.06370327,5.216751797,8.070601411
380,33.47190764,6.06521998,6.024813134
385,35.97587751,5.341534058,6.364240174
390,32.37329376,5.533230359,5.5428478
395,33.71051098,5.469622135,6.538153598
400,37.23310906,5.693862338,6.709474113
405,35.66104774,5.242187004,6.938293814
410,37.52622105,5.612375766,6.632121906
415,38.98875235,5.501649313,6.684624192
420,34.70990365,5.230299189,6.539364692
425,33.0981954,5.517748474,7.333482141
430,29.26370134,5.690101338,6.391031515
435,33.44402286,5.799303762,6.71308758
440,33.71811061,5.554761677,6.48637545
445,35.47101765,4.939173679,6.380427595
450,35.15250926,5.014445943,8.023050608
455,36.1054504,5.018615438,7.788947351
460,34.39427014,5.652572381,6.739332047
465,33.89036178,5.541191478,7.889712913
470,30.29020778,5.243628656,6.974425785
475,36.68813128,4.51303361,7.46421518
480,33.94053374,5.093315492,7.690188963
485,35.98226361,5.125560366,7.219079163
490,37.29213372,4.833512882,7.282986076
495,33.90204302,5.429702451,7.709976251
500,36.38902291,5.752994368,8.318725869
505,34.16812852,5.294313541,7.321103443
510,31.8258466,5.209389693,8.423533635
515,34.74363211,5.307921496,7.550358202
520,32.34661904,6.068106128,7.079405914
525,33.83750296,6.377137206,7.93082328
530,34.05656171,6.745213592,7.08104288
535,34.3335463,6.692278538,6.821720504
540,33.37367859,6.168084872,7.285222995
545,33.16897757,6.08777146,7.809473858
550,35.18651586,6.081874393,7.589334413
555,30.7794928,5.835639897,6.496614298
560,31.37504806,6.342601315,7.335589215
565,33.55006734,6.002838578,6.492642951
570,33.14182328,5.652444945,6.443120186
575,34.40756534,5.833550957,7.134298673
580,31.42113495,5.573958709,7.728348922
585,34.33704153,5.531386842,7.435343131
590,30.05461652,5.91274729,7.114018365
595,33.35044729,5.56167673,8.115309317
600,31.92635332,5.168595588,7.854181232
605,34.19210579,5.918331609,7.250242405
610,35.10815903,5.429856959,7.599237436
615,31.74525779,5.696220538,8.26446881
620,36.2178332,5.937431725,7.381205022
625,33.73543288,5.86330368,7.965032096
630,33.75155634,5.637139753,7.627402433
635,30.20183028,5.218507116,6.983224991
640,33.10264806,5.44452321,6.848787126
645,33.20817171,5.938091215,8.163640728
650,31.67224727,6.114030394,8.683241382
655,31.23689546,5.781898549,7.603349034
660,30.03546535,5.656602511,8.64212298
665,30.38157469,6.623539328,7.857074393
670,32.79098096,6.718000966,7.32350785
675,29.92453947,6.712719822,8.138347655
680,29.75096263,6.566984834,8.029695203
685,31.69649782,6.609535147,7.160003661
690,29.60579139,6.834128438,7.888229128
695,30.33706389,6.659613959,7.847446808
700,31.70253299,5.617522381,7.718202022
705,31.42501557,5.8712638,7.007293363
710,28.92061709,5.948492008,7.501401737
715,30.34785855,6.126253953,8.18168999
720,29.92699897,5.798034688,7.857612285
725,31.31825362,6.96881698,7.482354376
730,31.10645837,6.238499097,8.06230125
735,31.79769177,5.602963404,8.587815019
740,29.60373115,6.441015471,7.896399663
745,31.70014252,5.588148697,7.130962716
750,30.52733313,5.432929814,7.936009804
755,27.17557313,5.577915922,6.810464258
760,31.27778473,5.359318415,7.168511571
765,32.11138168,5.425679987,7.391315865
770,31.22369111,4.746645126,7.640030663
775,29.02355817,5.136853683,8.868672076
780,31.66746152,5.014122927,8.306494921
